,Bathrooms,Street,LandSlope,OverallQual,OverallCond,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,HeatingQC,CentralAir,Electrical,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,SalePrice,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,UnfBsmtRat,MasVnrType_BrkFace,MasVnrType_Stone,Exterior_AsbShng,Exterior_AsphShn,Exterior_BrkComm,Exterior_BrkFace,Exterior_CBlock,Exterior_CemntBd,Exterior_CmentBd,Exterior_HdBoard,Exterior_ImStucc,Exterior_MetalSd,Exterior_Plywood,Exterior_Stone,Exterior_Stucco,Exterior_VinylSd,Exterior_Wd Sdng,Exterior_WdShing,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,LandContour_HLS,LandContour_Low,LandContour_Lvl,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,UnfSqFtRatio,Age,IsNew,Renovated,GarageAge,HasPool
0,4.75,10.0,10.0,7,5,2.1025,7.0,5.5,7.0,7.0,10.0,10.0,10.0,4.375,4.0,7.0,10.0,1.0,5.5,5.5,4.6,4.314516129032258,5.5,5.5,10.0,12.247694320220994,1,0,0,0,0,2.5771028037383177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,2.0161290322580645,1.0,1.0,6.491071428571429,1.0
1,3.25,10.0,10.0,6,8,1.0,4.0,5.5,7.0,7.0,10.0,10.0,10.0,4.375,4.0,4.0,10.0,3.25,5.5,5.5,4.6,3.782258064516129,5.5,5.5,10.0,12.109010932687042,1,0,0,0,0,3.0253565768621233,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,5.790322580645161,1.0,1.0,7.1875,1.0
2,4.75,10.0,10.0,7,5,1.91125,7.0,5.5,7.0,7.0,10.0,10.0,10.0,4.375,4.0,7.0,10.0,3.25,5.5,5.5,4.6,4.67741935483871,5.5,5.5,10.0,12.31716669303576,1,0,0,0,0,5.245652173913044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,2.161290322580645,1.0,10.0,6.544642857142857,1.0
3,2.5,10.0,10.0,7,5,1.0,4.0,5.5,4.0,10.0,7.75,10.0,10.0,4.375,4.0,7.0,10.0,3.25,7.75,1.0,6.4,4.883064516129032,5.5,5.5,10.0,11.84939770159144,0,0,0,0,1,7.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,6.516129032258065,1.0,10.0,6.571428571428571,1.0
4,4.75,10.0,10.0,8,5,2.96875,7.0,5.5,7.0,7.0,10.0,10.0,10.0,5.5,4.0,7.0,10.0,3.25,5.5,5.5,6.4,6.056451612903226,5.5,5.5,10.0,12.429216196844383,1,0,0,0,0,4.851528384279476,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,2.4516129032258065,1.0,1.0,6.571428571428571,1.0
5,3.25,10.0,10.0,5,5,1.0,4.0,5.5,7.0,7.0,10.0,10.0,10.0,2.125,4.0,4.0,10.0,1.0,5.5,1.0,4.6,3.903225806451613,5.5,5.5,10.0,11.870599909242044,1,0,0,0,0,1.7236180904522613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,3.3225806451612905,1.0,10.0,6.785714285714286,1.0
6,4.0,10.0,10.0,8,5,2.0462499999999997,7.0,5.5,10.0,7.0,10.0,10.0,10.0,4.375,4.0,7.0,10.0,3.25,7.75,5.5,4.6,4.846774193548387,5.5,5.5,10.0,12.634603026569334,1,0,0,0,0,2.692170818505338,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,1.5806451612903225,1.0,10.0,6.4375,1.0
7,4.75,10.0,10.0,7,6,2.35,4.0,5.5,7.0,7.0,10.0,10.0,10.0,4.375,4.0,4.0,10.0,5.5,5.5,5.5,4.6,3.9274193548387095,5.5,5.5,10.0,12.206072645530174,1,0,0,0,0,2.7560975609756095,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,6.516129032258065,1.0,1.0,7.321428571428571,1.0
8,2.5,10.0,10.0,7,5,1.0,4.0,5.5,4.0,7.0,7.75,10.0,4.0,3.25,7.0,4.0,8.5,5.5,5.5,1.0,4.6,3.8306451612903225,3.25,5.5,10.0,11.77452020265869,0,0,0,0,1,10.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,9.709677419354838,1.0,10.0,8.419642857142858,1.0
9,2.5,10.0,10.0,5,6,1.0,4.0,5.5,4.0,7.0,10.0,10.0,10.0,3.25,7.0,4.0,10.0,5.5,5.5,5.5,2.8,2.23991935483871,7.75,5.5,10.0,11.678439903447801,1,0,0,0,0,2.2714429868819375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,9.709677419354838,1.0,10.0,8.205357142857142,1.0
